1526284499.233,1526284795.166,157.240.11.35,41.75.41.200,443,55915,6,1,24,62,6537,1419,1441,32934,65535,
1526284499.246,1526284794.645,74.125.197.189,0.220.95.1,443,47573,17,1,0,49,4039,1419,1441,15169,65535,
1526284499.251,1526284799.522,17.249.44.26,0.220.95.11,5223,34079,6,1,24,1027,134106,1419,1441,714,65535,
1526284499.268,1526284799.720,173.194.202.127,0.220.15.197,19302,61021,17,1,0,31,1860,1419,1441,15169,65000,
1526284499.280,1526284798.826,76.103.6.2,41.75.63.186,62203,9307,17,33,0,693,180695,19,1441,7922,65535,
1526284499.342,1526284798.060,41.75.24.143,23.246.6.199,55934,443,6,2,24,9365,462512,1441,1419,65535,2906,
1526284499.437,1526284781.998,0.220.168.78,104.154.127.105,58644,80,6,2,24,68,11092,1441,19,65535,15169,
1526284499.535,1526284797.486,203.205.146.24,0.220.95.0,32108,9807,6,1,24,103,11316,1419,1441,132203,65535,
1526284499.738,1526284799.732,52.37.187.117,0.220.50.92,443,55683,6,1,24,31,3561,19,1441,16509,65535,
1526284499.759,1526284799.785,41.75.63.186,24.21.6.142,9305,9305,17,2,0,48,12000,1441,1419,65535,7922,
1526284499.772,1526284790.188,41.75.40.145,54.149.26.69,61444,443,6,2,24,46,4324,1441,1420,65535,16509,
1526284499.981,1526284792.983,40.90.10.180,41.75.43.85,443,51062,6,1,24,34,5002,1419,1441,8075,65535,
1526284499.991,1526284792.894,74.125.197.189,0.220.95.1,443,33627,17,1,0,165,33136,1419,1441,15169,65535,
1526284499.994,1526284796.115,208.85.40.20,0.220.95.133,443,65177,6,1,24,61,21129,1419,1441,40428,65535,
1526284500.256,1526284800.975,0.220.95.132,203.205.190.58,35611,16285,17,2,0,11976,1465412,1441,19,65535,132203,
1526284500.341,1526284786.059,23.246.6.194,0.220.95.133,443,54310,6,1,26,119892,179068450,1419,1441,2906,65535,
1526284500.474,1526284792.337,0.220.58.51,52.201.151.128,45509,443,6,2,24,77,61600,1441,1420,65535,14618,
1526284500.489,1526284781.409,0.220.95.133,23.246.6.194,19842,443,6,2,26,14009,763864,1441,1419,65535,2906,
1526284500.493,1526284781.339,23.246.6.194,0.220.95.133,443,19842,6,1,26,38030,56796398,1419,1441,2906,65535,
1526284500.736,1526284800.734,104.20.229.70,0.220.9.215,443,54109,6,1,24,59,6609,19,1441,13335,65535,
1526284500.754,1526284795.690,41.75.24.157,192.64.173.132,0,8.0,1,2,0,66,3960,1441,19,65535,6507,
1526284500.824,1526284799.526,2607:f8b0:400e:c03::bd,f9fc:a7b:d023:c07e:548d:42c0:a145:5ee5,443,56392,17,1,0,77,9955,1419,1441,0,65535,
1526284500.834,1526284800.964,216.200.136.23,0.220.85.131,4005,5011,6,1,16,2993,119720,1419,1441,6461,65535,
1526284500.853,1526284785.723,0.220.58.51,199.231.78.122,46437,7351,17,2,0,55,15567,1441,19,65535,36024,
1526284501.235,1526284801.719,0.220.95.132,54.244.51.14,54079,3478,17,2,0,23,1104,1441,1420,65535,16509,
1526284501.235,1526284801.961,0.220.95.1,173.8.181.13,42405,16393,17,2,0,48068,54421613,1441,1419,65535,7922,
1526284501.253,1526284790.619,0.220.95.1,74.125.199.189,60356,443,17,2,0,43,4388,1441,19,65535,15169,
1526284501.272,1526284797.119,2605:380:54:351::4,fff9:3514:43e0:3f9b:6fbb:8b43:3eca:6ca3,5938,49417,6,1,24,45,4352,19,1441,0,65000,
1526284501.285,1526284801.977,173.8.181.13,0.220.95.1,16393,42405,17,33,0,21703,15662101,19,1441,7922,65535,
1526284501.297,1526284801.851,0.220.95.11,188.65.126.11,2613,443,6,2,24,2234,123743,1441,19,65535,41690,
1526284501.332,1526284798.934,161.202.224.155,0.220.95.0,8080,56393,6,1,24,87,27474,1419,1441,36351,65535,
1526284501.382,1526284801.939,23.246.6.210,0.220.95.133,443,22400,6,1,26,82130,122627295,1419,1441,2906,65535,
1526284501.491,1526284780.436,74.125.199.189,72.5.190.210,443,61457,6,1,24,36,4758,1419,1441,15169,65535,
1526284501.695,1526284799.846,74.125.197.189,0.220.95.11,443,16226,6,1,24,130,14654,1419,1441,15169,65535,
1526284501.756,1526284801.846,216.58.216.142,72.5.190.152,443,56018,6,1,24,172,17254,1419,1441,15169,65535,
1526284501.799,1526284777.092,184.105.137.72,41.75.35.158,27028,36135,17,1,0,12,528,1419,1441,6939,65535,
1526284501.801,1526284777.095,184.105.137.71,41.75.35.158,25483,36135,17,1,0,12,528,1419,1441,6939,65535,
1526284501.963,1526284801.153,31.13.70.14,0.220.95.133,443,61937,6,1,24,17245,24120077,1419,1441,32934,65535,
1526284502.021,1526284790.386,23.246.7.199,0.220.95.133,443,14089,6,1,24,6709,9900026,1419,1441,2906,65535,
1526284502.071,1526284802.470,74.125.197.189,41.75.76.34,443,54981,6,1,24,331,37771,1419,1441,15169,65535,
1526284502.188,1526284789.911,40.97.223.114,0.220.58.51,443,60155,6,1,24,22,2701,1419,1441,8075,65535,
1526284502.307,1526284802.707,0.220.95.129,34.208.155.128,37655,443,6,2,24,46,4186,1441,1420,65535,16509,
1526284502.366,1526284801.557,0.220.95.133,31.13.70.14,61937,443,6,2,24,9413,541192,1441,1419,65535,32934,
1526284502.505,1526284780.915,8.8.8.8,0.220.212.136,53,52002,17,1,0,13,1526,1419,1441,15169,65000,
1526284502.548,1526284802.908,0.220.58.51,74.95.44.97,39141,42567,17,2,0,1012,159572,1441,1419,65535,7922,
1526284502.552,1526284787.629,202.131.14.130,0.220.226.39,0,8.0,1,3,0,40,1440,635,1441,65163,65000,
1526284502.586,1526284774.473,54.245.3.220,72.5.190.53,443,53531,6,1,27,290,302191,19,1441,16509,65535,
1526284502.610,1526284789.733,40.97.222.34,0.220.197.249,443,62878,6,1,24,21,3516,1419,1441,8075,65535,
1526284502.624,1526284791.013,23.246.7.201,0.220.95.11,443,50578,6,1,24,2572,3798800,1419,1441,2906,65535,
1526284502.650,1526284802.947,41.75.60.223,34.210.5.143,64169,443,6,2,24,43,3754,1441,1420,65535,16509,
1526284502.664,1526284792.394,41.75.76.170,173.194.202.189,65195,443,6,2,24,18,1211,1441,19,65535,15169,
1526284502.845,1526284802.513,fff9:3514:43e0:3faf:16:5ffc:7120:d38f,2400:bc80:3::1,53093,179,6,2,24,382,27656,1441,19,65535,0,
1526284503.389,1526284801.222,0.220.95.133,122.143.23.34,58143,80,6,2,26,8321,485064,1441,19,65535,4837,
1526284503.456,1526284802.036,184.171.106.7,76.10.2.20,0,3.10,1,192,0,113,8900,1441,19,65000,46925,
1526284503.460,1526284784.299,0.220.143.53,208.85.40.50,59080,443,6,2,24,35,9886,1441,1419,65535,40428,
1526284503.486,1526284786.682,52.114.158.19,0.220.95.11,443,52218,6,1,24,30,5646,1419,1441,8075,65535,
1526284503.506,1526284802.457,74.125.199.189,0.220.95.132,443,55161,17,1,0,116,11564,1419,1441,15169,65535,
1526284503.516,1526284802.308,41.75.46.6,216.58.193.78,52017,443,17,2,0,289,151118,1441,19,65535,15169,
1526284503.531,1526284803.294,71.193.142.29,0.220.85.148,55424,44327,17,33,0,535,74880,19,1441,7922,65535,
1526284503.640,1526284793.893,184.171.106.7,24.20.1.222,0,3.10,1,192,0,67,5228,1441,1419,65000,7922,
1526284503.655,1526284803.800,208.84.66.195,41.75.109.51,53,53472,17,33,0,122,12238,19,1441,26211,65000,
1526284503.850,1526284803.907,23.246.6.198,0.220.95.133,443,62473,6,1,24,49260,73607613,1419,1441,2906,65535,
1526284504.029,1526284803.207,74.125.199.189,0.220.95.1,443,62552,17,1,0,49,3777,1419,1441,15169,65535,
1526284504.189,1526284803.320,fff9:3514:43e0:3f9b:716c:a6ab:fdd1:5730,2607:f8b0:400a:806::200e,56658,443,6,2,24,458,100176,1441,19,65000,0,
1526284504.198,1526284804.961,99.151.17.7,0.220.95.132,16393,58784,17,41,0,50467,53978406,19,1441,7018,65535,
1526284504.212,1526284804.880,162.245.206.135,41.75.36.162,443,53295,6,33,24,489,42588,19,1441,49544,65535,
1526284504.214,1526284804.948,0.220.95.132,99.151.17.7,58784,16393,17,2,0,50929,52866993,1441,19,65535,7018,
1526284504.671,1526284804.902,0.220.236.204,206.24.210.80,179,56976,6,2,24,422,22039,1441,19,65535,3561,
1526284504.733,1526284797.268,23.246.6.207,41.75.40.145,443,52652,6,1,24,18863,28246350,1419,1441,2906,65535,
1526284504.735,1526284792.822,0.220.227.61,13.59.223.87,54836,443,6,2,24,47,5245,1441,1420,65535,16509,
1526284504.741,1526284800.505,74.125.199.95,0.220.95.11,443,17365,6,1,24,60,3520,1419,1441,15169,65535,
1526284504.755,1526284795.083,41.75.24.117,106.39.162.29,59180,443,6,2,24,46,23416,1441,1419,65535,23724,
1526284504.937,1526284804.985,23.246.6.198,0.220.95.133,443,63892,6,1,24,58618,87608562,1419,1441,2906,65535,
